dbcode, entity, sitecode, bgn_date_time, bgn_cr, bgn_hg, end_date_time, end_cr, end_hg, comments
HF002,6,GSWS06,9/23/2014 16:22,0.032,0.032,9/29/2014 9:17,0.082,0.08,V-notch removed 9/30@0917
HF002,6,GSWS06,9/29/2014 9:17,0.029,0.029,10/7/2014 14:01,0.016,0.014,
HF002,6,GSWS06,10/7/2014 14:01,0.016,0.014,10/14/2014 15:08,0.018,0.015,
HF002,6,GSWS06,10/14/2014 15:08,0.018,0.015,10/21/2014 16:22,0.037,0.035,
HF002,6,GSWS06,10/21/2014 16:22,0.037,0.035,10/28/2014 16:40,0.091,0.089,
HF002,6,GSWS06,10/28/2014 16:40,0.091,0.089,11/4/2014 15:49,0.117,0.111,
HF002,6,GSWS06,11/4/2014 15:49,0.113,0.111,11/25/2014 11:47,0.279,0.279,
HF002,6,GSWS06,11/25/2014 11:47,0.279,0.279,12/16/2014 13:58,0.193,0.194,
HF002,6,GSWS06,12/16/2014 13:58,0.193,0.194,12/22/2014 14:39,0.803,0.799,Flume entry pool cleaned 12/22@~1445.
HF002,6,GSWS06,12/22/2014 14:39,0.795,0.799,1/6/2015 14:28,0.211,0.211,
HF002,6,GSWS06,1/6/2015 14:28,0.211,0.211,1/26/2015 15:18,0.202,0.2,
HF002,6,GSWS06,1/26/2015 15:18,0.202,0.2,2/19/2015 14:59,0.184,0.182,
HF002,6,GSWS06,2/19/2015 14:59,0.184,0.182,3/11/2015 18:13,0.101,0.1,
HF002,6,GSWS06,3/11/2015 18:13,0.101,0.1,4/1/2015 14:40,0.151,0.151,
HF002,6,GSWS06,4/1/2015 14:40,0.151,0.151,4/22/2015 13:28,0.124,0.123,
HF002,6,GSWS06,4/22/2015 13:28,0.124,0.123,4/30/2015 13:35,0.107,0.108,
HF002,6,GSWS06,4/30/2015 13:35,0.107,0.108,5/6/2015 12:03,0.097,0.096,CR10X replaced w/ CR1000 5/6 @ 1203 - 1323. Data Missing
HF002,6,GSWS06,5/6/2015 12:03,0.097,0.096,5/6/2015 13:23,0.097,0.096,Missing Data
HF002,6,GSWS06,5/6/2015 13:23,0.097,0.096,5/13/2015 16:44,0.085,0.085,
HF002,6,GSWS06,5/13/2015 16:44,0.085,0.085,5/27/2015 17:34,0.065,0.067,
HF002,6,GSWS06,5/27/2015 17:34,0.065,0.067,6/3/2015 5:38,0.062,0.063,
HF002,6,GSWS06,6/3/2015 5:38,0.062,0.063,6/16/2015 8:51,0.048,0.049,Installed V-notch 6/16@0851
HF002,6,GSWS06,6/16/2015 8:51,0.118,0.118,6/22/2015 19:22,0.107,0.105,
HF002,6,GSWS06,6/22/2015 19:22,0.107,0.105,6/30/2015 8:53,0.096,0.096,
HF002,6,GSWS06,6/30/2015 8:53,0.096,0.096,7/5/2015 14:39,0.081,0.08,
HF002,6,GSWS06,7/5/2015 14:39,0.081,0.08,7/14/2015 14:21,0.075,0.078,
HF002,6,GSWS06,7/14/2015 14:21,0.075,0.078,7/21/2015 10:26,0.069,0.068,
HF002,6,GSWS06,7/21/2015 10:26,0.069,0.068,7/28/2015 11:30,0.059,0.058,
HF002,6,GSWS06,7/28/2015 11:30,0.059,0.058,8/4/2015 18:08,0.04,0.04,
HF002,6,GSWS06,8/4/2015 18:08,0.04,0.04,8/11/2015 9:16,0.042,0.043,
HF002,6,GSWS06,8/11/2015 9:16,0.042,0.043,8/18/2015 11:08,0.033,0.034,
HF002,6,GSWS06,8/18/2015 11:08,0.033,0.034,8/24/2015 17:33,0.018,0.018,
HF002,6,GSWS06,8/24/2015 17:33,0.018,0.018,9/1/2015 11:21,0.042,0.042,
HF002,6,GSWS06,9/1/2015 11:21,0.042,0.042,9/8/2015 11:48,0.043,0.043,
HF002,6,GSWS06,9/8/2015 11:48,0.043,0.043,9/14/2015 15:01,0.029,0.029,
HF002,6,GSWS06,9/14/2015 15:01,0.029,0.029,9/22/2015 13:30,0.037,0.035,
HF002,6,GSWS06,9/22/2015 13:30,0.037,0.035,9/29/2015 8:01,0.024,0.024,V-notch removed 9/29@0801
HF002,6,GSWS06,9/29/2015 8:01,0.01,0.01,10/6/2015 16:50,0.013,0.015,
